Applicant_ID,Gender,Age,Marital_Status,Dependents,Education,Employment_Status,Occupation_Type,City/Town,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Purpose,Interest_Rate,Co-Applicant,Transaction_Frequency,Default_Risk,Loan_Approval_Status
27,Female,30,Married,3,Graduate,Employed,Business,Urban,83447,3687,794,2,2841,19771,0,21241,161,Education,5.4,Yes,23,0.51,1
31,Male,28,Divorced,2,High School,Employed,Salaried,Urban,67933,1594,742,0,23309,13179,1,20249,45,Personal,13.17,No,9,0.24,0
33,Female,26,Single,1,Graduate,Employed,Freelancer,Urban,99270,3883,712,0,14504,13508,0,26828,192,Personal,6.6,No,9,0.93,1
36,Female,53,Married,0,Graduate,Self-Employed,Freelancer,Suburban,66047,849,482,0,42842,16363,0,24795,124,Education,3.97,Yes,26,0.71,0
39,Male,37,Married,3,Postgraduate,Self-Employed,Salaried,Suburban,88355,3157,752,0,39101,26645,0,23097,229,Education,14.68,Yes,28,0.67,1
45,Female,34,Married,1,Graduate,Self-Employed,Freelancer,Suburban,134031,3080,812,0,20736,28911,1,36100,85,Personal,11.24,No,12,0.76,0
48,Male,46,Married,3,Graduate,Self-Employed,Business,Suburban,52600,2669,794,1,32961,28914,0,20000,81,Education,3.87,No,17,0.41,1
49,Male,47,Single,3,High School,Self-Employed,Salaried,Urban,60103,1176,847,0,35354,788,0,20000,41,Personal,11.67,No,17,0.9,1
53,Male,19,Married,2,Graduate,Unemployed,Salaried,Urban,32418,1717,587,0,37560,22349,0,11224,73,Education,7.35,No,19,0.2,1
56,Male,30,Single,0,Graduate,Employed,Professional,Urban,43060,1835,306,1,17048,4879,0,9244,160,Education,9.76,No,8,0.9,0
57,Female,28,Single,0,High School,Employed,Business,Urban,120324,3705,720,0,41166,10525,0,29625,32,Education,5.63,Yes,28,0.12,1
59,Male,38,Married,0,High School,Employed,Freelancer,Suburban,143063,2401,788,1,22407,10490,0,32776,224,Education,8.41,No,17,0.22,1
61,Male,31,Married,1,High School,Employed,Business,Urban,127737,4816,777,0,29781,8134,1,32997,213,Personal,13.95,No,15,0.13,1
62,Male,38,Married,2,High School,Employed,Professional,Suburban,148537,1408,849,1,15771,18477,1,24363,40,Personal,14.11,No,14,0.82,1
64,Male,29,Married,3,Postgraduate,Employed,Business,Suburban,64093,2296,807,2,32765,4132,0,20000,147,Education,3.74,Yes,27,0.37,1
66,Female,30,Single,2,Graduate,Self-Employed,Professional,Rural,94133,2377,795,0,31882,29162,0,22170,200,Education,12.69,Yes,9,0.88,1
67,Male,41,Single,2,Graduate,Unemployed,Professional,Urban,122542,1907,744,2,35412,9871,0,24127,198,Education,10.94,Yes,16,0.56,1
69,Female,31,Divorced,2,Postgraduate,Self-Employed,Salaried,Urban,69760,1179,753,0,12975,20200,0,20122,123,Personal,5.99,Yes,6,0.96,0
71,Female,52,Single,3,High School,Self-Employed,Professional,Urban,36908,2117,486,2,32759,3811,0,6651,142,Education,3.67,Yes,27,0.22,0
73,Female,49,Single,1,Postgraduate,Employed,Freelancer,Urban,73735,1623,795,2,36627,22058,0,20335,164,Education,5.67,No,11,0.95,1
74,Male,38,Married,0,Graduate,Unemployed,Salaried,Urban,32625,2006,393,0,20021,11026,0,11885,53,Education,4.49,Yes,20,0.18,0
75,Male,42,Married,0,Graduate,Employed,Business,Urban,55882,1855,343,1,33737,6135,1,19530,67,Education,4.95,No,21,0.67,1
80,Male,43,Married,0,Graduate,Self-Employed,Freelancer,Suburban,142307,4963,754,0,23783,3183,0,21258,211,Education,11.72,Yes,24,0.44,1
81,Male,68,Single,3,High School,Unemployed,Salaried,Urban,37539,2887,336,1,49896,19749,0,12023,193,Education,14.14,No,12,0.07,0
82,Female,37,Married,0,High School,Self-Employed,Salaried,Urban,129380,1557,783,2,40693,4720,0,32699,200,Personal,14.74,No,7,0.26,1
85,Male,43,Single,1,High School,Employed,Salaried,Suburban,135220,3057,823,1,43294,25786,0,38280,44,Personal,14.15,No,12,0.31,1
86,Male,47,Married,1,High School,Unemployed,Business,Urban,70684,878,785,2,5830,27409,0,20953,35,Education,9.14,Yes,5,0.12,1
87,Female,36,Married,3,Postgraduate,Self-Employed,Business,Urban,67283,4000,568,0,3935,200,1,11245,21,Personal,8.49,Yes,21,0.37,0
89,Male,61,Married,0,High School,Employed,Freelancer,Urban,44493,4989,593,0,27009,10449,1,13470,136,Personal,5.79,Yes,28,0.32,0
91,Male,43,Single,2,High School,Employed,Professional,Urban,131192,2215,823,2,25467,23923,1,23590,223,Personal,9.53,Yes,16,0.53,1
99,Female,36,Single,1,Postgraduate,Self-Employed,Business,Suburban,118209,3259,796,1,30979,3438,1,21339,23,Education,9.19,No,6,0.25,1
100,Female,48,Single,2,Graduate,Unemployed,Professional,Urban,112560,2852,802,0,318,3543,0,22315,229,Education,10.75,No,26,0.94,0
101,Male,42,Single,1,Graduate,Self-Employed,Freelancer,Suburban,143783,3379,725,1,33778,12932,0,39683,237,Education,9.19,Yes,18,0.15,1
102,Female,43,Married,1,High School,Self-Employed,Salaried,Suburban,74599,4776,798,0,32177,8876,0,20034,132,Personal,6.4,Yes,9,0.91,1
103,Female,48,Married,1,Graduate,Self-Employed,Freelancer,Urban,52665,4472,793,2,49387,20339,0,20000,82,Education,4.35,No,20,0.76,1
104,Male,40,Single,2,Graduate,Employed,Business,Suburban,139214,2602,713,0,44270,18648,0,35421,44,Personal,7.51,No,26,0.28,0
112,Female,45,Married,0,High School,Employed,Business,Urban,87378,2256,773,2,39599,29728,0,24418,28,Education,13.77,Yes,14,0.61,1
113,Male,36,Married,1,High School,Self-Employed,Salaried,Urban,61410,3344,475,0,5019,16937,0,12388,134,Personal,6.97,No,23,0.53,0
114,Female,25,Single,2,Graduate,Self-Employed,Professional,Rural,37979,2481,440,0,47153,7678,0,7467,227,Education,10.89,Yes,17,0.05,0
117,Male,59,Married,3,Graduate,Unemployed,Professional,Urban,63314,1285,342,0,36400,25674,0,5904,217,Education,7.36,No,10,0.67,0
118,Female,35,Divorced,0,High School,Self-Employed,Professional,Urban,137955,1298,734,2,30053,4107,0,38046,86,Personal,4.21,No,11,0.24,1
126,Male,26,Married,3,Postgraduate,Self-Employed,Business,Urban,106351,1504,762,0,46686,20418,1,22578,33,Personal,7.5,Yes,22,0.31,0
127,Female,50,Single,3,Postgraduate,Self-Employed,Salaried,Urban,35323,2279,572,2,21650,28767,0,7048,223,Personal,10.4,Yes,21,0.74,1
128,Female,33,Married,0,High School,Unemployed,Salaried,Urban,61427,3911,569,1,47060,12497,0,14612,102,Education,12.23,Yes,5,0.21,0
130,Female,33,Single,1,Postgraduate,Employed,Professional,Urban,137815,3570,791,2,48380,10900,1,36366,144,Education,5.22,Yes,25,0.65,1
131,Male,45,Single,2,Postgraduate,Unemployed,Salaried,Suburban,98424,1983,700,0,6612,28709,0,22124,82,Personal,13.74,Yes,29,0.34,1
132,Male,25,Single,3,Postgraduate,Employed,Professional,Urban,126974,1508,808,0,436,7037,1,22495,188,Personal,14.34,Yes,16,0.08,1
134,Male,41,Married,0,Graduate,Employed,Professional,Urban,122024,2461,780,1,26735,14350,0,26740,61,Personal,7.51,No,18,0.15,0
137,Female,42,Married,1,High School,Self-Employed,Business,Urban,111979,3132,761,1,46628,7447,0,31920,163,Education,7.69,No,16,0.52,1
140,Female,43,Single,2,High School,Unemployed,Salaried,Urban,63774,3393,595,2,40933,13116,0,20768,104,Education,3.67,No,20,0.35,1
143,Male,26,Married,1,Postgraduate,Employed,Business,Suburban,58453,2391,760,0,15398,5486,0,20000,30,Education,13.58,Yes,23,0.25,0
145,Male,27,Married,3,High School,Unemployed,Business,Urban,122800,635,820,2,15993,15219,0,22208,50,Education,7.37,Yes,28,0.94,1
146,Male,32,Married,0,Graduate,Employed,Salaried,Suburban,85163,4310,774,2,14033,16914,0,22311,191,Personal,6.14,No,22,0.78,1
149,Male,45,Married,2,Graduate,Employed,Freelancer,Urban,138556,708,726,0,28473,10845,0,23002,175,Education,8.1,Yes,12,0.9,1
152,Male,36,Single,3,Graduate,Unemployed,Salaried,Suburban,93025,4361,841,2,14055,684,0,23291,33,Education,13.88,No,12,0.99,1
155,Female,47,Single,0,Graduate,Employed,Professional,Suburban,68787,3370,476,2,22922,1856,0,7627,102,Education,12.09,Yes,15,0.26,0
156,Female,38,Married,0,Graduate,Employed,Freelancer,Rural,113970,642,752,1,23882,13430,0,23109,99,Personal,8.04,Yes,11,0.49,1
157,Male,30,Single,1,Graduate,Employed,Business,Suburban,84867,1834,843,0,5139,15634,0,20247,114,Personal,12.59,No,16,0.38,1
158,Female,44,Married,3,High School,Employed,Salaried,Urban,39218,3424,535,1,34136,4201,0,13668,176,Personal,6.09,Yes,10,0.86,0
162,Male,47,Married,1,High School,Unemployed,Professional,Rural,135699,914,785,0,40493,20525,1,31162,181,Education,13.9,Yes,21,0.73,1
166,Male,60,Single,1,Graduate,Self-Employed,Salaried,Urban,35894,2862,500,0,34274,2027,0,7191,181,Education,7.88,Yes,24,0.58,0
172,Male,34,Single,2,Graduate,Employed,Business,Urban,80943,2181,736,2,4963,16649,1,21963,198,Education,6.7,No,11,0.5,1
173,Female,48,Single,2,Graduate,Employed,Professional,Suburban,125788,4147,799,1,43474,17507,1,21163,42,Education,9.19,Yes,16,0.92,1
174,Female,30,Married,2,High School,Unemployed,Business,Urban,102705,2406,738,2,33917,4709,0,26269,60,Personal,7.22,No,16,0.78,1
176,Female,31,Married,0,Graduate,Unemployed,Freelancer,Urban,143256,3898,829,0,33195,21590,0,42430,130,Education,12.25,No,21,0.15,1
177,Male,48,Single,3,Graduate,Employed,Freelancer,Urban,76537,4094,762,2,28917,21635,0,21028,223,Education,11.08,Yes,24,0.43,0
179,Male,52,Single,1,High School,Self-Employed,Business,Urban,54157,1144,541,0,30084,19967,0,8752,61,Personal,11.81,Yes,17,0.12,0
180,Male,32,Married,3,Graduate,Unemployed,Business,Suburban,100970,2491,719,2,17516,17743,0,26881,226,Personal,5.83,No,19,0.35,1
181,Female,42,Married,0,Postgraduate,Self-Employed,Freelancer,Urban,110982,2403,823,0,803,5625,0,27695,12,Education,8.96,No,8,0.07,1
183,Female,60,Married,3,Postgraduate,Employed,Freelancer,Urban,50150,2651,571,1,48885,6024,0,11583,194,Education,14.93,Yes,6,0.82,0
184,Female,39,Single,0,High School,Employed,Business,Urban,25986,810,507,0,9380,27972,0,10102,190,Education,5.72,No,9,0.71,1
186,Male,34,Married,2,Graduate,Self-Employed,Salaried,Suburban,68259,3836,812,0,5727,12445,0,20167,149,Personal,6.74,Yes,5,0.98,1
189,Male,41,Married,1,Postgraduate,Unemployed,Professional,Urban,55260,4860,841,1,36115,10298,0,20000,202,Personal,4.93,Yes,8,0.96,1
191,Male,48,Divorced,0,Graduate,Self-Employed,Freelancer,Rural,136482,4387,767,2,10493,23115,0,24072,231,Personal,5.22,Yes,17,0.94,1
196,Male,36,Married,2,Graduate,Unemployed,Salaried,Urban,58480,3286,764,1,42982,27581,0,20000,155,Education,14.59,No,13,0.34,1
199,Female,46,Single,0,Graduate,Unemployed,Business,Urban,56075,4795,395,0,3907,11089,1,20652,158,Personal,11.88,Yes,5,0.82,0
201,Female,28,Single,2,Graduate,Unemployed,Freelancer,Urban,121118,2044,774,2,34966,27650,0,24858,186,Education,6.02,No,11,0.25,1
202,Male,40,Divorced,1,High School,Unemployed,Business,Rural,127683,2198,833,2,10229,9962,0,31016,126,Education,11.58,No,24,0.96,1
204,Male,31,Married,3,Graduate,Unemployed,Freelancer,Rural,34034,3455,490,0,42010,27489,0,7318,130,Education,8.4,Yes,24,0.01,0
205,Female,45,Married,3,Postgraduate,Unemployed,Freelancer,Suburban,121084,4242,787,2,30758,9234,1,31594,112,Personal,13.03,No,22,0.11,1
211,Female,31,Married,3,Graduate,Self-Employed,Business,Suburban,80776,3592,765,1,37355,24260,0,23764,156,Personal,5.31,No,9,0.86,1
217,Female,47,Married,1,Postgraduate,Employed,Salaried,Urban,73543,650,703,1,44170,8282,1,20847,95,Personal,5.97,No,18,0.82,1
223,Male,38,Single,1,Graduate,Employed,Freelancer,Rural,97998,1757,720,2,29903,18679,0,24878,127,Personal,8.64,Yes,8,0.52,0
229,Male,66,Married,2,High School,Unemployed,Freelancer,Suburban,28232,1594,413,1,42933,16370,0,10892,216,Education,3.95,No,9,0.21,0
233,Female,48,Single,1,Graduate,Self-Employed,Professional,Suburban,64992,916,765,2,40265,18177,0,20000,57,Personal,12.46,No,19,0.89,1
234,Female,38,Married,3,High School,Employed,Professional,Suburban,105075,1975,748,2,31391,22513,0,27536,122,Personal,12.91,Yes,12,0.19,1
235,Female,39,Single,1,Graduate,Self-Employed,Business,Rural,147521,2621,833,2,16966,2652,0,30888,218,Personal,10.36,No,18,0.61,1
237,Female,46,Married,2,Postgraduate,Employed,Business,Urban,117790,831,846,2,49518,2349,0,25478,29,Education,8.1,Yes,16,0.2,1
238,Male,32,Married,2,Graduate,Unemployed,Business,Urban,72244,2252,770,2,11123,29058,0,20526,231,Personal,12.06,No,5,0.51,1
239,Male,27,Single,2,Graduate,Employed,Business,Urban,70066,3468,788,2,45994,17161,0,20191,19,Personal,3.87,No,15,0.41,0
241,Male,18,Married,0,High School,Employed,Professional,Suburban,67858,3516,391,1,14727,12061,0,20817,207,Education,11.81,No,29,0.72,0
242,Female,49,Single,3,Graduate,Employed,Salaried,Suburban,30642,1701,373,1,17247,8152,0,6627,159,Personal,5.59,Yes,25,0.79,0
243,Female,25,Married,3,Postgraduate,Employed,Salaried,Urban,43155,2615,569,1,43290,14939,0,12231,167,Education,5.74,No,14,0.85,0
247,Male,27,Married,0,Postgraduate,Employed,Professional,Rural,115371,961,721,2,46923,4542,1,27869,183,Personal,6.42,Yes,9,0.17,1
248,Female,63,Married,0,Graduate,Self-Employed,Professional,Urban,60846,3334,493,2,25569,4823,0,15948,146,Education,13.71,No,28,0.09,0
249,Female,39,Single,0,High School,Unemployed,Professional,Urban,68568,3426,330,1,38614,6457,0,25145,229,Personal,7.88,No,27,0.87,0
250,Female,54,Single,3,High School,Unemployed,Professional,Suburban,44252,2107,587,2,43386,11258,0,5126,168,Personal,9.05,No,28,0.11,0
255,Male,45,Married,0,High School,Employed,Salaried,Urban,53348,1820,715,1,8318,9410,0,20000,172,Education,7.82,Yes,7,0.49,1
256,Female,29,Single,1,Graduate,Unemployed,Salaried,Urban,118407,1602,797,0,37596,18235,1,35289,98,Personal,9.34,Yes,24,0.74,1
257,Female,54,Single,0,High School,Employed,Business,Suburban,53457,4125,519,2,32281,27101,0,5448,42,Education,11.12,No,29,0.07,0
259,Female,37,Married,2,Postgraduate,Self-Employed,Business,Urban,92652,1482,782,1,13079,9086,0,25431,218,Personal,11.86,No,19,0.86,1
260,Male,34,Single,1,High School,Unemployed,Business,Urban,146468,527,792,2,27712,14532,0,37489,234,Education,9.54,No,14,0.52,1
263,Male,26,Single,0,Graduate,Employed,Business,Rural,107722,2755,746,0,46234,21270,0,20017,27,Personal,12.04,No,19,0.15,1
264,Female,46,Married,0,High School,Self-Employed,Business,Urban,113841,3853,811,0,19632,18838,0,20024,109,Personal,7.67,Yes,18,0.36,1
267,Female,39,Single,3,High School,Self-Employed,Freelancer,Urban,85429,2645,814,1,48405,12125,0,20175,230,Education,9.36,Yes,20,0.6,0
270,Female,34,Single,0,Graduate,Employed,Freelancer,Urban,139333,4026,754,0,24232,6468,0,22456,151,Personal,6.15,No,12,0.68,0
271,Male,59,Single,3,Postgraduate,Employed,Business,Urban,31928,3237,476,0,45844,21871,0,5372,118,Education,13.21,Yes,12,0.51,0
272,Female,43,Married,3,Postgraduate,Employed,Freelancer,Urban,32773,1994,372,1,47927,8634,0,7065,48,Personal,13.23,No,27,0.28,0
276,Female,28,Married,0,High School,Employed,Professional,Urban,109935,2763,768,2,4995,5626,0,22154,30,Education,3.98,No,27,0.3,1
278,Female,33,Married,3,High School,Unemployed,Professional,Urban,138764,3829,722,0,2728,19627,0,33931,88,Personal,13.96,No,15,0.81,1
281,Male,56,Single,3,Graduate,Employed,Salaried,Urban,43311,3194,316,2,25746,22090,1,13096,213,Education,5.79,No,16,0.39,0
283,Male,49,Single,3,High School,Unemployed,Business,Urban,106610,2213,822,1,8835,7736,0,23073,123,Personal,12.16,No,18,0.13,1
287,Male,42,Single,3,High School,Self-Employed,Freelancer,Rural,89445,2051,775,2,3381,9388,1,21415,175,Education,7.69,Yes,12,0.51,1
288,Female,33,Divorced,0,High School,Employed,Business,Urban,133930,4181,820,2,2414,10042,0,29013,67,Education,9.74,No,21,0.12,1
291,Male,42,Single,2,Postgraduate,Self-Employed,Salaried,Suburban,98524,3865,785,2,40699,6922,1,24143,14,Personal,11.7,Yes,21,0.9,1
293,Female,64,Married,0,High School,Self-Employed,Freelancer,Urban,57852,2135,411,1,32716,23651,0,10479,116,Education,9.6,Yes,28,0.11,0
294,Female,30,Single,0,High School,Self-Employed,Freelancer,Urban,149849,3228,748,1,19474,13892,0,26445,50,Personal,8.86,Yes,11,0.07,1
296,Male,37,Single,0,Graduate,Unemployed,Salaried,Suburban,88716,1906,783,2,15362,25102,1,23405,75,Education,11.4,No,22,0.97,1
297,Female,29,Married,3,Postgraduate,Employed,Professional,Suburban,39267,1685,435,1,10183,8596,1,5807,62,Education,8.38,Yes,11,0.03,0
301,Female,35,Single,1,Graduate,Employed,Business,Urban,54774,2846,739,1,36621,14943,1,20000,49,Education,10.24,Yes,21,0.57,1
305,Female,60,Single,2,Graduate,Employed,Freelancer,Urban,62818,4980,487,0,43774,8821,0,18230,177,Personal,7.6,Yes,28,0.91,1
307,Male,38,Single,3,High School,Self-Employed,Professional,Suburban,54775,4685,762,1,22522,7332,0,20000,115,Education,5.86,Yes,27,0.09,1
309,Female,18,Married,2,High School,Self-Employed,Professional,Suburban,50677,1300,472,1,28365,19780,0,19702,66,Education,10.18,Yes,18,0.19,1
312,Female,46,Married,0,High School,Employed,Business,Suburban,67788,599,721,1,46958,21196,1,20302,37,Education,4.67,Yes,13,0.06,0
315,Female,20,Married,0,High School,Self-Employed,Freelancer,Urban,46160,3318,435,2,32799,495,0,9191,76,Personal,4.83,Yes,24,0.21,0
316,Female,49,Single,0,Graduate,Self-Employed,Professional,Urban,131369,559,809,2,48616,18566,0,21767,91,Personal,9.15,Yes,27,0.22,1
318,Female,35,Married,0,Postgraduate,Employed,Business,Urban,89872,2939,807,0,19701,7977,0,20415,147,Personal,7.93,Yes,29,0.21,1
320,Male,38,Single,2,Graduate,Employed,Professional,Urban,127561,3387,779,0,14018,23540,0,36169,148,Education,6.87,No,15,0.24,1
322,Female,25,Single,3,Graduate,Self-Employed,Professional,Urban,50318,2933,368,1,2121,12071,1,8502,22,Personal,6.47,Yes,8,0.82,0
323,Female,34,Married,3,Postgraduate,Employed,Freelancer,Urban,80613,3563,834,1,26415,6183,0,21487,59,Education,11.57,Yes,13,0.32,0
326,Male,25,Single,3,Postgraduate,Employed,Business,Urban,63567,3340,391,1,2129,5332,0,11181,15,Personal,7.23,Yes,5,0.57,0
328,Male,28,Single,3,Graduate,Employed,Salaried,Urban,133621,3977,733,2,5833,9974,0,22195,207,Education,14.29,No,14,0.34,1
329,Female,48,Married,2,Graduate,Self-Employed,Business,Urban,145748,3977,701,2,31929,12889,0,37321,182,Education,9.95,No,6,0.61,1
335,Female,37,Divorced,3,Graduate,Unemployed,Business,Urban,77264,4768,802,0,48318,24922,0,23064,139,Education,6.12,Yes,21,0.05,1
336,Female,41,Married,2,Postgraduate,Employed,Salaried,Urban,87751,3804,704,1,19833,24218,0,23359,145,Education,10.72,Yes,14,0.01,1
338,Male,31,Single,0,High School,Unemployed,Business,Suburban,32464,2008,591,1,518,20790,0,12008,178,Education,9.52,Yes,6,0.22,0
340,Female,31,Single,2,High School,Employed,Business,Urban,106797,3348,793,2,14916,22431,1,26708,204,Education,3.83,Yes,26,0.6,0
342,Female,27,Divorced,0,Postgraduate,Unemployed,Business,Urban,97805,652,769,0,10619,18579,0,20329,142,Education,5.36,Yes,17,0.12,1
343,Female,35,Married,3,High School,Employed,Business,Suburban,138045,2332,847,2,43573,20398,0,35194,159,Education,8.22,No,24,0.82,1
350,Male,43,Married,1,Postgraduate,Self-Employed,Salaried,Rural,51301,4972,712,1,24433,1365,0,20000,186,Education,8.15,Yes,22,0.91,1
351,Female,45,Married,0,High School,Unemployed,Professional,Urban,145207,2425,768,1,14177,25629,0,27224,199,Education,4.65,Yes,26,0.4,1
352,Female,68,Single,0,High School,Employed,Business,Suburban,57837,4502,510,1,26288,14622,0,9182,71,Personal,10.32,No,5,0.51,0
359,Male,24,Single,0,High School,Self-Employed,Professional,Rural,25863,2269,515,0,22402,10337,1,7965,44,Personal,13.74,Yes,23,0.77,0
361,Female,31,Single,3,High School,Employed,Business,Urban,54295,3694,748,2,20782,16860,0,20000,209,Personal,3.68,Yes,7,0.11,1
362,Female,39,Married,3,High School,Employed,Business,Urban,118928,3113,722,2,22205,6957,0,29468,77,Education,6.06,Yes,20,0.44,0
366,Male,32,Single,1,Postgraduate,Employed,Business,Urban,50199,4390,835,1,11655,27712,0,20000,123,Personal,10.13,No,16,0.2,1
367,Male,59,Single,2,High School,Self-Employed,Salaried,Suburban,29428,3324,414,1,33359,5061,0,8539,134,Education,7.98,Yes,18,0.39,0
369,Male,37,Single,1,Graduate,Employed,Salaried,Urban,135828,1715,776,1,3661,9223,0,22686,54,Personal,11.1,No,12,0.32,1
370,Female,28,Married,1,High School,Unemployed,Freelancer,Urban,51550,1040,744,1,17674,25911,0,20000,109,Personal,9.19,Yes,27,0.12,1
372,Male,48,Single,3,Graduate,Employed,Salaried,Urban,51665,1844,839,0,9013,19446,0,20000,100,Education,6.1,No,10,0.97,1
374,Male,40,Single,1,Graduate,Self-Employed,Professional,Urban,94003,2267,836,2,27912,7622,1,23773,184,Education,14.69,No,13,0.02,1
376,Female,48,Married,3,Graduate,Employed,Professional,Urban,83766,3404,831,1,31827,12009,0,20532,88,Education,7.45,No,27,0.6,1
377,Male,47,Divorced,0,High School,Employed,Professional,Urban,45314,3231,593,0,41666,24052,0,6836,71,Personal,9.77,No,24,0.31,0
388,Male,42,Married,1,Graduate,Employed,Business,Rural,86231,4410,818,2,9712,11608,0,20316,86,Personal,13.97,Yes,9,0.71,1
389,Female,36,Single,2,Graduate,Employed,Business,Suburban,23962,1000,565,0,33167,20825,0,8398,193,Education,7.84,Yes,24,0.26,1
395,Female,25,Married,2,Graduate,Employed,Salaried,Rural,73318,977,818,0,36340,23114,0,20418,230,Education,8.58,Yes,28,0.56,1
396,Female,37,Single,3,High School,Self-Employed,Business,Suburban,50936,1971,558,2,39200,26564,0,15930,225,Education,12.31,No,19,0.54,1
397,Female,66,Single,3,Postgraduate,Employed,Salaried,Urban,69598,4150,437,1,34716,27261,0,11332,81,Education,13.48,Yes,18,0.12,0
399,Female,40,Married,2,High School,Unemployed,Professional,Suburban,59375,3042,546,2,49912,27545,0,8301,143,Education,5.87,No,19,0.49,0
404,Male,64,Single,1,Graduate,Self-Employed,Professional,Urban,56659,4737,510,0,22619,8029,0,9932,202,Education,14.3,Yes,12,0.31,0
406,Female,56,Married,2,High School,Employed,Business,Suburban,37679,4793,396,1,6475,2528,0,14848,218,Education,10.51,Yes,9,0.07,0
409,Male,46,Divorced,0,Graduate,Self-Employed,Salaried,Urban,49957,3772,480,2,27102,18130,0,18415,160,Education,7.64,Yes,12,0.23,0
410,Female,33,Married,2,High School,Unemployed,Salaried,Urban,70335,2236,796,1,7195,14278,1,20593,117,Education,11.39,Yes,29,0.45,1
411,Male,35,Single,1,Graduate,Employed,Freelancer,Urban,71551,3858,700,2,45985,12994,1,20241,49,Personal,8.28,No,8,0.0,1
416,Female,32,Married,0,High School,Employed,Salaried,Suburban,86165,4260,795,1,36287,24174,1,22226,188,Personal,4.08,No,12,0.43,1
420,Male,39,Single,2,High School,Self-Employed,Freelancer,Urban,61823,842,475,2,27265,25306,0,21929,145,Personal,10.08,No,23,0.13,0
421,Male,37,Married,1,High School,Employed,Business,Urban,69738,4756,436,1,35785,1525,0,5777,62,Personal,6.91,No,5,0.89,0
422,Male,35,Married,1,Graduate,Self-Employed,Salaried,Urban,57880,2083,496,2,6762,21587,0,16951,97,Education,4.6,Yes,28,0.7,1
425,Male,47,Married,2,High School,Self-Employed,Freelancer,Urban,93850,4714,750,2,6430,24720,1,20740,218,Personal,12.05,Yes,10,0.13,1
429,Female,35,Single,3,Graduate,Unemployed,Professional,Suburban,126671,1918,707,1,17472,20761,1,25211,54,Education,12.87,No,24,0.69,1
431,Female,47,Married,3,High School,Employed,Freelancer,Urban,87553,4943,737,1,29345,26509,0,20070,54,Personal,9.65,No,20,0.42,1
432,Male,27,Divorced,0,High School,Self-Employed,Business,Suburban,38668,2365,358,1,17058,19873,0,10054,19,Education,10.17,Yes,29,0.95,0
433,Female,43,Married,1,Graduate,Employed,Salaried,Urban,83985,4942,822,2,7664,6656,0,21784,239,Education,5.56,Yes,5,0.11,0
435,Male,48,Married,0,Graduate,Employed,Freelancer,Urban,128755,1232,828,2,9127,83,1,24966,23,Education,12.09,No,27,0.63,1
440,Male,36,Single,2,Graduate,Employed,Freelancer,Suburban,97080,2207,746,1,7376,3072,0,23654,194,Personal,5.4,Yes,18,0.23,1
441,Male,44,Single,2,Postgraduate,Unemployed,Freelancer,Suburban,67130,4739,717,0,34882,23200,0,20055,115,Education,3.68,Yes,11,0.26,1
442,Female,67,Married,1,High School,Employed,Professional,Urban,68832,4534,473,0,29816,17218,0,14981,86,Personal,8.56,Yes,16,0.19,0
444,Female,44,Single,3,High School,Unemployed,Freelancer,Urban,93046,2989,755,2,4811,26367,1,26136,234,Education,5.73,Yes,20,0.41,1
